OID,Lat_DD,Long_DD,Jurisdiction,Juris_ID,Name,Status,Commodity_Code,Commodity_Full_Name,Mined_Quantity,Mine_Type,Last_Year,Permit,URL,Forcing_Features,Feature_References,Feature_Class,Location,County,Landowner,Last_Operator,Start_Date,Peak_Production,Last_Updated
10782,54.67587764,-102.8535059,SK,B-6,Western Nuclear,Abandoned Non-Uranium Sites,"CU,ZN,PB",NULL,NULL,Mine,NULL,NULL,http://www.er.gov.sk.ca/dbsearch/MinDepositQuery/default.aspx?ID=0209,Openings have been secured - unconfined tailings,NULL,A,NULL,NULL,NULL,NULL,NULL,NULL,2012
10783,54.64054226,-102.1911933,SK,B-11,Bearcat Showing and Prospect Shaft,Abandoned Non-Uranium Sites,PY,NULL,NULL,Shaft,NULL,NULL,http://www.er.gov.sk.ca/dbsearch/MinDepositQuery/default.aspx?ID=0160,Openings secured - possible small amount of ARD,NULL,D,NULL,NULL,NULL,NULL,NULL,NULL,2012
10784,54.87835119,-102.1447457,SK,B-28,Cam Option Copper Showing,Abandoned Non-Uranium Sites,CU,NULL,NULL,Showing,NULL,NULL,http://www.er.gov.sk.ca/dbsearch/MinDepositQuery/default.aspx?ID=0301,Exploration trenches - filled,NULL,D,NULL,NULL,NULL,NULL,NULL,NULL,2012
10785,54.72145356,-102.0987441,SK,B-31,SYE/Sunset Exploration Shaft,Abandoned Non-Uranium Sites,AU,NULL,NULL,Shaft,NULL,NULL,http://www.er.gov.sk.ca/dbsearch/MinDepositQuery/default.aspx?ID=0096,Exploration Shaft,NULL,C,NULL,NULL,NULL,NULL,NULL,NULL,2012
10786,54.65894336,-102.0350138,SK,B-34,Birch Lake Mine,Abandoned Non-Uranium Sites,CU,NULL,NULL,Mine,NULL,NULL,http://www.er.gov.sk.ca/dbsearch/MinDepositQuery/default.aspx?ID=0113,Openings secured - possible small amount of ARD,NULL,D,NULL,NULL,NULL,NULL,NULL,NULL,2012
10787,54.71000172,-101.8889016,SK,B-17,Dion Lake Copper Showing and Shaft,Abandoned Non-Uranium Sites,CU,NULL,NULL,"Showing, Shaft",NULL,NULL,http://www.er.gov.sk.ca/dbsearch/MinDepositQuery/default.aspx?ID=0025,Opening secured,NULL,D,NULL,NULL,NULL,NULL,NULL,NULL,2012
10788,54.70482622,-101.9176591,SK,B-35,Henning Maloney Mine,Abandoned Non-Uranium Sites,AU,NULL,NULL,Mine,NULL,NULL,http://www.er.gov.sk.ca/dbsearch/MinDepositQuery/default.aspx?ID=0006,"Opening secured, debris cleaned up",NULL,D,NULL,NULL,NULL,NULL,NULL,NULL,2012
10789,59.45302498,-108.5244052,SK,B-1,"Box, Box Point, Box Adit",Abandoned Non-Uranium Sites,AU,NULL,NULL,Mine,NULL,NULL,http://www.er.gov.sk.ca/dbsearch/MinDepositQuery/default.aspx?ID=1210a,Multiple openings - unconfined tailings,NULL,A,NULL,NULL,NULL,NULL,NULL,NULL,2012
10790,59.44878719,-108.487977,SK,B-27,Athona,Abandoned Non-Uranium Sites,AU,NULL,NULL,Mine,NULL,NULL,http://www.er.gov.sk.ca/dbsearch/MinDepositQuery/default.aspx?ID=1257,Multiple Openings,NULL,C,NULL,NULL,NULL,NULL,NULL,NULL,2012
10791,59.66261514,-108.4905006,SK,B-30,Neely Lake Mine Site,Abandoned Non-Uranium Sites,AU,NULL,NULL,Mine,NULL,NULL,http://www.er.gov.sk.ca/dbsearch/MinDepositQuery/default.aspx?ID=1281,Opening secured,NULL,D,NULL,NULL,NULL,NULL,NULL,NULL,2012
10792,59.46232027,-108.5300952,SK,B-43,Frontier Adit,Abandoned Non-Uranium Sites,AU,NULL,NULL,Adit,NULL,NULL,http://www.er.gov.sk.ca/dbsearch/MinDepositQuery/default.aspx?ID=1211,Opening secured,NULL,D,NULL,NULL,NULL,NULL,NULL,NULL,2012
10793,59.43514066,-108.5147985,SK,B-44,Greenlee Showing,Abandoned Non-Uranium Sites,AU,NULL,NULL,Shaft,NULL,NULL,http://www.er.gov.sk.ca/dbsearch/MinDepositQuery/default.aspx?ID=1212,Opening unsecured,NULL,C,NULL,NULL,NULL,NULL,NULL,NULL,2012
10794,59.3860444,-108.8802068,SK,U-1,Gunnar Mines Ltd. Lake Athabasca,Abandoned Uranium Sites,UR,NULL,NULL,Mine,NULL,NULL,http://www.er.gov.sk.ca/dbsearch/MinDepositQuery/default.aspx?ID=1206,Openings secured - unconfined tailings,NULL,A,NULL,NULL,NULL,NULL,NULL,NULL,2012
10795,59.44603441,-108.8618298,SK,U-2,Gulch Mines Ltd. Lake Athabasca,Abandoned Uranium Sites,UR,NULL,NULL,Mine,NULL,NULL,http://www.er.gov.sk.ca/dbsearch/MinDepositQuery/default.aspx?ID=1221,Unsecured openings,NULL,C,NULL,NULL,NULL,NULL,NULL,NULL,2012
10796,59.51986165,-108.6959553,SK,U-3,"Lorado Mill Site, Nero Lake, Eucana",Abandoned Uranium Sites,NULL,NULL,NULL,Mine,NULL,NULL,NULL,Unconfined tailings,NULL,A,NULL,NULL,NULL,NULL,NULL,NULL,2012
10797,59.62106904,-108.4563739,SK,U-4,Baska Uranium Mine Ltd. Dot Claim mine site Virgin,Abandoned Uranium Sites,UR,NULL,NULL,Mine,NULL,NULL,http://www.er.gov.sk.ca/dbsearch/MinDepositQuery/default.aspx?ID=1292,Openings secured,NULL,D,NULL,NULL,NULL,NULL,NULL,NULL,2012
10798,59.54325865,-108.6688317,SK,U-5,Lake Cinch/Cenex Ltd. Cinch Lake,Abandoned Uranium Sites,UR,NULL,NULL,Mine,NULL,NULL,http://www.er.gov.sk.ca/dbsearch/MinDepositQuery/default.aspx?ID=1425a,"Secured and unsecured openings, elevated gamma",NULL,B,NULL,NULL,NULL,NULL,NULL,NULL,2012
